Index, Altitude, Velocity, Acceleration, Rawalt, Rawac  
126,1559.31,28.21,10.38,1531.89,10.38,
127,1559.55,28.31,10.38,1532.18,10.39,
128,1559.82,28.42,10.38,1532.85,10.38,
129,1560.07,28.52,10.38,1532.46,10.39,
130,1560.30,28.61,10.38,1531.98,10.38,
131,1560.52,28.70,10.39,1531.98,10.40,
132,1560.75,28.79,10.38,1532.08,10.38,
133,1560.95,28.87,10.39,1531.70,10.39,
134,1561.18,28.96,10.39,1532.37,10.40,
135,1561.40,29.04,10.39,1531.98,10.39,
136,1561.62,29.12,10.39,1532.27,10.39,
137,1561.84,29.20,10.39,1532.37,10.39,
138,1562.06,29.28,10.38,1532.37,10.38,
139,1562.27,29.35,10.39,1532.18,10.39,
140,1562.46,29.42,10.39,1532.08,10.39,
141,1562.69,29.49,10.38,1532.85,10.38,
142,1562.91,29.57,10.38,1532.75,10.38,
143,1563.10,29.63,10.38,1532.08,10.38,
144,1563.29,29.69,10.38,1532.18,10.38,
145,1563.48,29.74,10.38,1532.37,10.38,
146,1563.65,29.80,10.38,1531.98,10.38,
147,1563.82,29.85,10.38,1531.98,10.38,
148,1564.02,29.90,10.38,1532.65,10.38,
149,1564.19,29.95,10.38,1532.18,10.38,
150,1564.38,30.00,10.38,1532.75,10.37,
151,1564.54,30.05,10.38,1532.18,10.39,
152,1564.72,30.09,10.38,1532.75,10.39,
153,1564.89,30.14,10.38,1532.37,10.37,
154,1565.05,30.18,10.38,1532.56,10.38,
155,1565.22,30.22,10.38,1532.65,10.39,
156,1565.37,30.25,10.38,1532.27,10.39,
157,1565.51,30.28,10.38,1532.27,10.38,
158,1565.65,30.31,10.38,1532.27,10.38,
159,1565.81,30.34,10.38,1532.75,10.37,
160,1565.97,30.38,10.38,1533.04,10.37,
161,1566.11,30.41,10.38,1532.65,10.38,
162,1566.24,30.43,10.38,1532.27,10.38,
163,1566.37,30.45,10.38,1532.56,10.39,
164,1566.50,30.47,10.38,1532.46,10.38,
165,1566.61,30.49,10.38,1532.37,10.38,
166,1566.74,30.51,10.38,1532.65,10.38,
167,1566.84,30.52,10.38,1532.18,10.37,
168,1566.97,30.54,10.38,1532.94,10.38,
169,1567.09,30.55,10.38,1532.65,10.38,
170,1567.18,30.56,10.38,1532.18,10.38,
171,1567.29,30.57,10.38,1532.75,10.38,
172,1567.38,30.58,10.38,1532.18,10.38,
173,1567.46,30.58,10.38,1532.18,10.39,
174,1567.54,30.58,10.38,1532.27,10.39,
175,1567.64,30.59,10.38,1532.75,10.37,
176,1567.74,30.60,10.38,1532.85,10.38,
177,1567.82,30.60,10.38,1532.27,10.37,
178,1567.88,30.59,10.38,1532.18,10.37,
179,1567.97,30.59,10.38,1532.65,10.38,
180,1568.05,30.59,10.38,1532.65,10.38,
181,1568.11,30.59,10.38,1532.37,10.38,
182,1568.19,30.59,10.38,1532.65,10.38,
183,1568.26,30.59,10.38,1532.65,10.39,
184,1568.31,30.58,10.38,1532.27,10.39,
185,1568.37,30.57,10.38,1532.46,10.37,
186,1568.42,30.56,10.38,1532.18,10.39,
187,1568.49,30.56,10.38,1532.94,10.40,
188,1568.56,30.55,10.38,1532.94,10.38,
189,1568.61,30.54,10.38,1532.56,10.37,
190,1568.67,30.54,10.38,1532.75,10.37,
191,1568.73,30.53,10.38,1532.94,10.38,
192,1568.76,30.52,10.38,1532.18,10.38,
193,1568.79,30.50,10.38,1532.37,10.39,
194,1568.85,30.49,10.38,1532.94,10.38,
195,1568.91,30.49,10.38,1533.04,10.36,
196,1568.93,30.47,10.38,1532.27,10.39,
197,1568.96,30.46,10.38,1532.56,10.38,
198,1568.98,30.44,10.38,1532.27,10.40,
199,1569.00,30.42,10.38,1532.18,10.39,
200,1569.02,30.40,10.38,1532.37,10.38,
201,1569.03,30.38,10.38,1532.08,10.39,
202,1569.05,30.36,10.38,1532.56,10.37,
203,1569.09,30.35,10.38,1532.85,10.37,
204,1569.10,30.33,10.37,1532.37,10.37,
205,1569.11,30.31,10.38,1532.37,10.39,
206,1569.12,30.29,10.38,1532.18,10.39,
207,1569.11,30.26,10.38,1531.98,10.39,
208,1569.12,30.24,10.38,1532.46,10.38,
209,1569.13,30.22,10.38,1532.27,10.38,
210,1569.15,30.21,10.38,1532.65,10.39,
211,1569.14,30.18,10.38,1531.98,10.38,
212,1569.14,30.16,10.38,1532.46,10.38,
213,1569.13,30.14,10.38,1531.98,10.38,
214,1569.14,30.12,10.38,1532.46,10.38,
215,1569.15,30.10,10.38,1532.56,10.39,
216,1569.15,30.08,10.38,1532.46,10.37,
217,1569.15,30.06,10.38,1532.37,10.39,
218,1569.16,30.05,10.38,1532.65,10.37,
219,1569.17,30.03,10.38,1532.65,10.38,
220,1569.17,30.01,10.38,1532.46,10.39,
221,1569.17,30.00,10.38,1532.65,10.37,
222,1569.17,29.98,10.38,1532.37,10.39,
223,1569.16,29.96,10.38,1532.27,10.40,
224,1569.14,29.93,10.38,1532.08,10.38,
225,1569.13,29.91,10.38,1532.46,10.39,
226,1569.12,29.90,10.39,1532.37,10.39,
227,1569.12,29.88,10.39,1532.56,10.41,
228,1569.11,29.86,10.39,1532.27,10.39,
229,1569.09,29.84,10.38,1532.27,10.37,
230,1569.09,29.82,10.38,1532.46,10.38,
231,1569.07,29.80,10.38,1532.27,10.38,
232,1569.04,29.77,10.38,1531.79,10.39,
233,1569.03,29.76,10.38,1532.46,10.39,
234,1569.01,29.74,10.39,1532.27,10.40,
235,1568.98,29.71,10.39,1531.89,10.38,
236,1568.97,29.70,10.38,1532.37,10.38,
237,1568.96,29.68,10.38,1532.37,10.38,
238,1568.95,29.66,10.38,1532.37,10.38,
239,1568.94,29.65,10.38,1532.65,10.38,
240,1568.93,29.63,10.38,1532.37,10.39,
241,1568.93,29.62,10.38,1532.65,10.39,
242,1568.92,29.61,10.39,1532.46,10.39,
243,1568.90,29.59,10.39,1532.37,10.40,
244,1568.90,29.58,10.39,1532.65,10.39,
245,1568.89,29.57,10.38,1532.65,10.37,
246,1568.89,29.56,10.38,1532.75,10.37,
247,1568.89,29.55,10.38,1532.75,10.38,
248,1568.88,29.53,10.38,1532.56,10.38,
249,1568.88,29.52,10.38,1532.65,10.37,
250,1568.87,29.51,10.38,1532.65,10.39,
251,1568.88,29.51,10.39,1533.04,10.41,
252,1568.88,29.50,10.39,1532.75,10.39,
253,1568.86,29.48,10.38,1532.37,10.38,
254,1568.87,29.47,10.38,1533.04,10.37,
255,1568.85,29.46,10.38,1532.37,10.37,
256,1568.84,29.45,10.38,1532.65,10.38,
257,1568.83,29.44,10.38,1532.65,10.38,
