Index,Altitude,kalmanAltitude,kalmanVelocity,kalmanAcceleration,ax,ay,az,islaunch,isApogee1,isApogee2,isApogee3
74,1566.97,1566.97,0,0,0.13,-10.06,0.34,0,0,0,0
75,1566.68,1566.93,-0.02,0,0.12,-10.06,0.35,0,0,0,0
76,1567.16,1566.96,0,0.01,0.13,-10.06,0.32,0,0,0,0
77,1566.97,1566.96,0,0.01,0.13,-10.06,0.34,0,0,0,0
78,1566.87,1566.95,0,0.01,0.14,-10.06,0.35,0,0,0,0
79,1567.26,1566.99,0.02,0.01,0.13,-10.06,0.32,0,0,0,0
80,1567.16,1567.01,0.04,0.02,0.13,-10.07,0.34,0,0,0,0
81,1566.97,1567.01,0.04,0.02,0.14,-10.05,0.32,0,0,0,0
82,1566.87,1567,0.03,0.02,0.13,-10.06,0.32,0,0,0,0
83,1566.78,1566.98,0.02,0.01,0.13,-10.05,0.34,0,0,0,0
84,1566.68,1566.95,0,0.01,0.14,-10.06,0.33,0,0,0,0
85,1566.97,1566.95,0.01,0.01,0.12,-10.07,0.33,0,0,0,0
86,1566.49,1566.9,-0.02,0.01,0.12,-10.06,0.35,0,0,0,0
87,1566.97,1566.91,-0.01,0.01,0.12,-10.07,0.33,0,0,0,0
88,1566.78,1566.89,-0.02,0.01,0.13,-10.07,0.33,0,0,0,0
89,1566.78,1566.88,-0.03,0.01,0.12,-10.05,0.32,0,0,0,0
90,1566.49,1566.84,-0.05,0,0.14,-10.06,0.34,0,0,0,0
91,1567.06,1566.86,-0.03,0.01,0.13,-10.07,0.34,0,0,0,0
92,1566.97,1566.87,-0.02,0.01,0.12,-10.07,0.34,0,0,0,0
93,1566.87,1566.87,-0.02,0.01,0.13,-10.06,0.34,0,0,0,0
94,1566.87,1566.87,-0.02,0.01,0.13,-10.06,0.32,0,0,0,0
95,1566.49,1566.83,-0.04,0.01,0.13,-10.07,0.36,0,0,0,0
96,1567.06,1566.85,-0.02,0.01,0.11,-10.06,0.33,0,0,0,0
97,1566.68,1566.83,-0.03,0.01,0.14,-10.07,0.34,0,0,0,0
98,1566.68,1566.82,-0.03,0.01,0.13,-10.07,0.34,0,0,0,0
99,1567.06,1566.84,-0.01,0.01,0.13,-10.07,0.35,0,0,0,0
100,1567.06,1566.87,0,0.02,0.12,-10.07,0.32,0,0,0,0
101,1567.06,1566.89,0.02,0.02,0.13,-10.07,0.34,0,0,0,0
102,1567.06,1566.92,0.04,0.03,0.1,-10.07,0.34,0,0,0,0
103,1567.06,1566.94,0.05,0.03,0.13,-10.07,0.34,0,0,0,0
104,1566.78,1566.92,0.04,0.03,0.13,-10.05,0.32,0,0,0,0
105,1566.97,1566.94,0.05,0.03,0.13,-10.06,0.34,0,0,0,0
106,1566.78,1566.92,0.05,0.03,0.11,-10.06,0.34,0,0,0,0
107,1567.06,1566.95,0.06,0.03,0.13,-10.07,0.33,0,0,0,0
108,1566.97,1566.96,0.07,0.04,0.14,-10.06,0.34,0,0,0,0
109,1567.06,1566.98,0.08,0.04,0.11,-10.07,0.36,0,0,0,0
110,1566.78,1566.96,0.07,0.04,0.15,-10.08,0.31,0,0,0,0
111,1566.3,1566.89,0.03,0.03,0.11,-10.07,0.35,0,0,0,0
112,1566.39,1566.84,0,0.02,0.13,-10.07,0.34,0,0,0,0
113,1567.06,1566.87,0.02,0.02,0.1,-10.07,0.32,0,0,0,0
114,1566.87,1566.87,0.03,0.02,0.13,-10.06,0.34,0,0,0,0
115,1566.58,1566.84,0.01,0.02,0.12,-10.07,0.32,0,0,0,0
116,1566.87,1566.85,0.02,0.02,0.14,-10.07,0.34,0,0,0,0
117,1567.06,1566.88,0.03,0.03,0.11,-10.06,0.36,0,0,0,0
118,1567.16,1566.91,0.06,0.03,0.14,-10.07,0.3,0,0,0,0
119,1567.16,1566.95,0.08,0.04,0.11,-10.06,0.31,0,0,0,0
120,1566.87,1566.95,0.08,0.04,0.12,-10.07,0.38,0,0,0,0
121,1566.68,1566.93,0.06,0.03,0.14,-10.06,0.29,0,0,0,0
122,1566.97,1566.94,0.07,0.04,0.12,-10.06,0.36,0,0,0,0
123,1567.06,1566.96,0.09,0.04,0.12,-10.06,0.36,0,0,0,0
124,1566.78,1566.95,0.08,0.04,0.12,-10.06,0.28,0,0,0,0
