Index, Altitude, kalmanAltitude, kalmanVelocity, kalmanAcceleration, ax, ay, az, islaunch, isApogee1, isApogee2, isApogee3
955,1563.8,1561.8,-1.81,-0.77,-1.17,1.03,-10.35,1,0,0,1
956,1564.09,1561.85,-1.78,-0.76,-1.36,1.81,-10.18,1,0,0,1
957,1563.99,1561.88,-1.76,-0.75,-2.11,1.6,-9.87,1,0,0,1
958,1563.7,1561.87,-1.76,-0.75,-1.71,1.97,-9.97,1,0,0,1
959,1563.61,1561.86,-1.77,-0.76,-2.49,1.18,-9.74,1,0,0,1
960,1563.51,1561.83,-1.79,-0.76,-0.7,0.47,-10.61,1,0,0,1
961,1563.99,1561.87,-1.77,-0.76,-1.21,1.99,-9.9,1,0,0,1
962,1563.8,1561.88,-1.76,-0.75,-2.63,2.29,-9.65,1,0,0,1
963,1563.99,1561.9,-1.74,-0.75,-0.87,1.04,-10.38,1,0,0,1
964,1563.99,1561.93,-1.73,-0.74,-0.26,1.78,-9.87,1,0,0,1
965,1564.09,1561.97,-1.71,-0.74,-0.2,1.3,-10.29,1,0,0,1
966,1564.66,1562.06,-1.66,-0.73,-0.62,0.9,-10.51,1,0,0,1
967,1564.09,1562.09,-1.64,-0.72,-0.54,2.42,-9.91,1,0,0,1
968,1563.9,1562.1,-1.65,-0.73,-1.7,1.17,-10.19,1,0,0,1
969,1564.09,1562.12,-1.63,-0.72,-1.81,1.81,-9.83,1,0,0,1
970,1564.09,1562.14,-1.63,-0.72,-1.5,1.69,-10.19,1,0,0,1
971,1564.09,1562.17,-1.62,-0.72,-2.33,1.5,-9.65,1,0,0,1
972,1564.18,1562.2,-1.6,-0.72,-1.37,1.12,-10.08,1,0,0,1
973,1563.99,1562.2,-1.61,-0.72,-1.51,1.88,-10.3,1,0,0,1
974,1564.28,1562.24,-1.59,-0.72,-0.65,1.23,-10.35,1,0,0,1
975,1564.18,1562.27,-1.58,-0.72,-0.82,2.14,-9.91,1,0,0,1
976,1564.38,1562.31,-1.56,-0.71,-1.62,1.86,-9.89,1,0,0,1
977,1564.28,1562.34,-1.55,-0.71,-0.97,1.8,-9.9,1,0,0,1
978,1563.99,1562.34,-1.56,-0.71,-2.33,2.3,-10.05,1,0,0,1
979,1563.51,1562.28,-1.61,-0.73,-0.7,2.05,-10.18,1,0,0,1
980,1564.57,1562.34,-1.58,-0.72,-0.31,2.21,-10.19,1,0,0,1
981,1563.7,1562.3,-1.61,-0.73,-2.2,1.19,-10.19,1,0,0,1
982,1563.9,1562.28,-1.62,-0.73,-1.43,0.98,-10.15,1,0,0,1
983,1563.99,1562.28,-1.63,-0.74,-1.03,1.87,-10.03,1,0,0,1
984,1563.9,1562.26,-1.65,-0.74,-2.06,0.92,-10.08,1,0,0,1
985,1563.7,1562.22,-1.68,-0.75,-0.87,1.02,-10.36,1,0,0,1
986,1564.18,1562.24,-1.67,-0.75,-2.42,1.78,-9.9,1,0,0,1
987,1564.18,1562.26,-1.66,-0.75,-0.65,1.61,-10.13,1,0,0,1
988,1564.18,1562.28,-1.66,-0.75,0.81,0.15,-9.85,1,0,0,1
989,1564.18,1562.3,-1.65,-0.74,-3.6,3.99,-8.55,1,0,0,1
990,1563.99,1562.3,-1.65,-0.74,-2.02,3.98,-8.83,1,0,0,1
991,1563.9,1562.28,-1.67,-0.75,1.43,0.4,-10.85,1,0,0,1
992,1563.32,1562.19,-1.72,-0.76,-2.19,2.49,-9.73,1,0,0,1
993,1564.09,1562.2,-1.72,-0.76,-0.89,-0.68,-10.53,1,0,0,1
994,1563.7,1562.17,-1.74,-0.76,-3.14,1.37,-9.62,1,0,0,1
995,1563.9,1562.16,-1.74,-0.76,-3.39,3.28,-9.15,1,0,0,1
996,1563.9,1562.14,-1.76,-0.77,0.52,-2.39,-10.93,1,0,0,1
997,1563.9,1562.13,-1.76,-0.77,-2.12,1.59,-9.39,1,0,0,1
998,1563.9,1562.12,-1.77,-0.77,-2.32,0.86,-10.12,1,0,0,1
999,1563.51,1562.07,-1.8,-0.78,-1.45,2.24,-9.78,1,0,0,1
1000,1564.09,1562.08,-1.79,-0.77,-1.36,1.28,-10.1,1,0,0,1
1001,1563.9,1562.08,-1.8,-0.77,-1.55,1.4,-10.06,1,0,0,1
1002,1563.8,1562.06,-1.8,-0.78,-1.43,0.83,-9.81,1,0,0,1
1003,1564.76,1562.14,-1.76,-0.76,-0.84,0.58,-11.01,1,0,0,1
1004,1563.9,1562.13,-1.77,-0.77,-0.31,1.5,-10.09,1,0,0,1
1005,1564.18,1562.15,-1.75,-0.76,-0.18,1.32,-10.05,1,0,0,1
1006,1563.99,1562.15,-1.76,-0.76,-1.75,0.94,-10.17,1,0,0,1
1007,1563.99,1562.15,-1.76,-0.76,-1.46,1.99,-9.99,1,0,0,1
1008,1563.8,1562.13,-1.77,-0.77,-0.78,0.97,-9.97,1,0,0,1
1009,1563.99,1562.13,-1.77,-0.77,-1.62,0.83,-10.38,1,0,0,1
1010,1563.42,1562.06,-1.81,-0.78,-1.67,2.22,-9.67,1,0,0,1
1011,1564.18,1562.09,-1.79,-0.77,-1.81,1.44,-10.12,1,0,0,1
1012,1564.66,1562.16,-1.75,-0.76,-0.41,1.98,-10.1,1,0,0,1
1013,1563.8,1562.14,-1.77,-0.76,-0.42,0.7,-10.56,1,0,0,1
1014,1563.42,1562.07,-1.81,-0.77,-1.53,1.3,-9.99,1,0,0,1
1015,1564.09,1562.09,-1.79,-0.77,-1.09,0.96,-9.71,1,0,0,1
1016,1564.28,1562.12,-1.78,-0.76,-0.51,1.36,-10.15,1,0,0,1
1017,1563.51,1562.07,-1.8,-0.77,-0.6,2,-9.73,1,0,0,1
1018,1563.9,1562.06,-1.81,-0.77,-2.41,0.43,-10.14,1,0,0,1
1019,1563.61,1562.02,-1.83,-0.78,-0.69,0.99,-10.25,1,0,0,1
1020,1564.09,1562.04,-1.82,-0.77,-0.85,0.75,-9.94,1,0,0,1
1021,1563.7,1562.01,-1.83,-0.78,-1.1,1.3,-10.29,1,0,0,1
1022,1563.9,1562.01,-1.83,-0.78,-0.51,0.95,-10.25,1,0,0,1
1023,1564.18,1562.03,-1.82,-0.77,-0.48,2.09,-10.19,1,0,0,1
1024,1563.99,1562.04,-1.81,-0.77,-0.75,1.54,-9.69,1,0,0,1
1025,1563.8,1562.02,-1.82,-0.77,0.21,0.97,-10.58,1,0,0,1
1026,1564.09,1562.04,-1.81,-0.77,-0.38,1.5,-9.92,1,0,0,1
1027,1564.09,1562.06,-1.8,-0.76,-0.34,2.08,-10.12,1,0,0,1
1028,1563.8,1562.04,-1.81,-0.77,0.16,1.89,-10.34,1,0,0,1
